id,name,stations,municipality
105,Αθηναίων,871,9186
102,Αγίας Παρασκευής,63,9167
108,Αμαρουσίου,81,9168
110,Βριλησσίων,34,9169
119,Ηρακλείου,58,9170
115,Εκάλης,8,9171
124,Κηφισιάς,62,9171
129,Νέας Ερυθραίας,19,9171
125,Λυκοβρύσεως,11,9172
141,Πεύκης,25,9172
127,Μεταμορφώσεως,32,9173
130,Νέας Ιωνίας,82,9174
137,Παπάγου,21,9175
147,Χολαργού,39,9175
126,Μελισσίων,25,9176
131,Νέας Πεντέλης,9,9176
138,Πεντέλης,8,9176
135,Νέου Ψυχικού,17,9177
144,Φιλοθέης,12,9177
148,Ψυχικού,17,9177
146,Χαλανδρίου,85,9178
101,Αγίας Βαρβάρας,39,9179
104,Αγίων Αναργύρων,43,9180
123,Καματερού,29,9180
106,Αιγάλεω,99,9181
120,Ιλίου (Νέων Λιοσίων),87,9182
139,Περιστερίου,184,9183
140,Πετρουπόλεως,63,9184
145,Χαϊδαρίου,55,9185
111,Βύρωνος,72,9187
112,Γαλατσίου,60,9188
114,Δάφνης,33,9189
143,Υμηττού,17,9189
117,Ζωγράφου,82,9190
118,Ηλιουπόλεως,99,9191
121,Καισαριανής,43,9192
133,Νέας Φιλαδέλφειας,38,9193
134,Νέας Χαλκηδόνος,15,9193
103,Αγίου Δημητρίου,73,9194
107,Αλίμου,52,9195
113,Γλυφάδας,104,9196
109,Αργυρουπόλεως,40,9197
116,Ελληνικού,19,9197
122,Καλλιθέας,127,9198
128,Μοσχάτου,34,9199
142,Ταύρου,27,9199
132,Νέας Σμύρνης,92,9200
136,Παλαιού Φαλήρου,83,9201
4012,Πειραιώς,265,9205
4002,Αγκιστρίου,2,9207
4003,Αίγινας,23,9208
4005,Αντικυθήρων,1,9209
4009,Κυθήρων,19,9209
4014,Πόρου,8,9210
4016,Σπετσών,8,9212
4010,Μεθάνων,7,9213
4017,Τροιζήνος,14,9213
4018,Ύδρας,6,9214
4006,Δραπετσώνας,23,9202
4007,Κερατσινίου,101,9202
4008,Κορυδαλλού,84,9203
4001,Αγίου Ιωάννου Ρέντη,23,9204
4011,Νικαίας,136,9204
4013,Περάματος,39,9206
4004,Αμπελακίων,12,9211
4015,Σαλαμίνας,41,9211
309,Αχαρνών,105,9215
319,Θρακομακεδόνων,7,9215
310,Βάρης,18,9216
312,Βούλας,34,9216
313,Βουλιαγμένης,11,9216
302,Αγίου Στεφάνου,11,9217
305,Ανοίξεως,7,9217
317,Διονύσου,7,9217
318,Δροσιάς,7,9217
325,Κρυονερίου,6,9217
340,Ροδοπόλεως,3,9217
344,Σταμάτας,4,9217
326,Κρωπίας,32,9218
301,Αγίου Κωνσταντίνου,1,9219
323,Κερατέας,17,9219
327,Λαυρεωτικής,16,9219
311,Βαρνάβα,3,9220
316,Γραμματικού,3,9220
329,Μαραθώνος,12,9220
332,Νέας Μάκρης,21,9220
330,Μαρκοπούλου Μεσογαίας,23,9221
315,Γλυκών Νερών,11,9222
334,Παιανίας,19,9222
304,Ανθούσης,3,9223
314,Γέρακα,25,9223
336,Παλλήνης,23,9223
337,Πικερμίου,6,9224
339,Ραφήνας,16,9224
303,Αναβύσσου,10,9225
321,Καλυβίων Θορικού,15,9225
324,Κουβαρά,3,9225
335,Παλαιάς Φωκαίας,5,9225
341,Σαρωνίδος,4,9225
306,Αρτέμιδος (Λούτσας),24,9226
343,Σπάτων-Λούτσας,15,9226
307,Αυλώνος,5,9227
308,Αφιδνών,4,9227
320,Καλάμου,5,9227
322,Καπανδριτίου,5,9227
328,Μαλακάσης,2,9227
331,Μαρκοπούλου Ωρωπού,4,9227
338,Πολυδενδρίου,2,9227
345,Συκαμίνου,3,9227
347,Ωρωπίων,13,9227
1102,Ασπροπύργου,39,9228
1104,Ελευσίνος,35,9229
1107,Μαγούλας,6,9229
1103,Βιλίων,7,9230
1105,Ερυθρών,6,9230
1108,Μάνδρας,17,9230
1111,Οινόης,2,9230
1109,Μεγαρέων,37,9231
1110,Νέας Περάμου,11,9231
1101,Ανω Λιοσίων,40,9232
1106,Ζεφυρίου,11,9232
1112,Φυλής,5,9232
201,Αγγελοκάστρου,5,9123
202,Αγρινίου,78,9123
209,Αρακύνθου,13,9123
212,Θεστιέων,14,9123
215,Μακρυνείας,14,9123
220,Νεάπολης,11,9123
222,Παναιτωλικού,8,9123
223,Παραβόλας,15,9123
224,Παρακαμπυλίων,10,9123
227,Στράτου,13,9123
206,Ανακτορίου,15,9124
214,Παλαίρου,11,9124
216,Μεδεώνος,13,9124
205,Αμφιλοχίας,30,9125
213,Ινάχου,22,9125
217,Μενιδίου,8,9125
211,Θέρμου,32,9126
203,Αιτωλικού,14,9127
218,Ιεράς Πόλης Μεσολογγίου,32,9127
221,Οινιάδων,18,9127
207,Αντιρρίου,7,9128
208,Αποδοτίας,21,9128
219,Ναυπάκτου,35,9128
225,Πλατάνου,12,9128
226,Πυλλήνης,11,9128
229,Χάλκειας,9,9128
204,Αλυζίας,9,9129
210,Αστακού,20,9129
228,Φυτειών,7,9129
401,Αλέας,6,9233
402,Αργους,45,9233
405,Αχλαδοκάμπου,2,9233
408,Κουτσοποδίου,7,9233
410,Λέρνας,8,9233
411,Λυρκείας,12,9233
413,Μυκηναίων,10,9233
415,Νέας Κίου,4,9233
404,Ασκληπιείου,11,9234
406,Επιδαύρου,8,9234
407,Ερμιόνης,7,9235
409,Κρανιδίου,18,9235
403,Ασίνης,11,9236
412,Μιδέας,15,9236
414,Ναυπλιέων,27,9236
416,Νέας Τίρυνθας,7,9236
503,Βόρειας Κυνουρίας,38,9237
504,Βυτίνας,8,9238
506,Δημητσάνας,8,9238
507,Ηραίας,17,9238
508,Κλείτορος,10,9238
509,Κοντοβαζαίνης,10,9238
512,Λαγκαδίων,8,9238
519,Τρικολώνων,6,9238
521,Τροπαίων,16,9238
505,Γόρτυνος,10,9239
516,Μεγαλόπολης,37,9239
522,Φαλαισίας,20,9239
501,Τύρου,5,9240
511,Κοσμά,2,9240
514,Λεωνιδίου,17,9240
502,Βαλτετσίου,14,9241
510,Κορυθίου,7,9241
513,Λεβιδίου,16,9241
515,Μαντινείας,13,9241
517,Σκυρίτιδας,8,9241
518,Τεγέας,18,9241
520,Τρίπολης,41,9241
523,Φαλάνθου,7,9241
603,Αμβρακικού,13,9073
605,Αρταίων,38,9073
606,Βλαχέρνας,10,9073
613,Ξηροβουνίου,14,9073
616,Φιλοθέης,13,9073
607,Γεωργίου Καραϊσκάκη,11,9074
608,Ηρακλείας,6,9074
615,Τετραφυλίας,12,9074
601,Αγνάντων,13,9075
602,Αθαμανίας,21,9075
609,Θεοδωριάνων,2,9075
612,Μελισσουργών,2,9075
604,Αράχθου,13,9076
610,Κομμένου,2,9076
611,Κομποτίου,8,9076
614,Πέτα,12,9076
701,Αιγείρας,12,9130
702,Αιγίου,51,9130
703,Ακράτας,17,9130
706,Διακοπτού,16,9130
708,Ερινεού,8,9130
720,Συμπολιτείας,21,9130
707,Δύμης,18,9131
711,Λαρισσού,18,9131
715,Μόβρης,11,9131
723,Ωλένιας,16,9131
710,Καλεντζίου,1,9132
712,Λεοντίου,3,9132
721,Τριταίας,16,9132
722,Φαρρών,20,9132
704,Αροανίας,13,9133
709,Καλαβρύτων,36,9133
713,Λευκασίου,17,9133
716,Παϊων,8,9133
705,Βραχναιίκων,8,9134
714,Μεσσάτιδος,19,9134
717,Παραλίας,11,9134
718,Πατρέων,202,9134
719,Ρίου,23,9134
802,Αλιάρτου,11,9142
809,Θεσπιέων,10,9142
803,Αντικύρας,3,9143
804,Αραχώβης,5,9143
808,Διστόμου,6,9143
805,Βαγίων,5,9144
810,Θηβαίων,33,9144
811,Θίσβης,10,9144
817,Πλαταιών,9,9144
806,Δαύλειας,5,9145
812,Κορώνειας,10,9145
813,Κυριακίου,4,9145
814,Λεβαδέων,33,9145
820,Χαιρωνείας,9,9145
801,Ακραιφνίας,6,9146
816,Ορχομενού,19,9146
807,Δερβενοχωρίων,6,9147
815,Οινοφύτων,8,9147
818,Σχηματαρίου,8,9147
819,Τανάγρας,6,9147
901,Αβδέλλας,1,9061
902,Βεντζίου,13,9061
903,Γόργιανης,8,9061
904,Γρεβενών,34,9061
906,Δοτσικού,1,9061
907,Ηρακλεωτών,10,9061
908,Θεόδωρου Ζιάκα,14,9061
909,Αγίου Κοσμά,11,9061
910,Μεσολουρίου,1,9061
911,Περιβολίου,1,9061
912,Σαμαρίνης,1,9061
913,Σμίξης,1,9061
914,Φιλιππαίων,1,9061
905,Δεσκάτης,13,9062
915,Χασίων,7,9062
1001,Δοξάτου,23,9001
1003,Καλαμπακίου,13,9001
1002,Δράμας,88,9002
1008,Σιδηρονέρου,3,9002
1004,Κάτω Νευροκοπίου,29,9003
1005,Νικηφόρου,13,9004
1006,Παρανεστίου,6,9004
1007,Προσοτσάνης,30,9005
1009,Σιταγρών,14,9005
1201,Αγαθονησίου,1,9274
1203,Αστυπάλαιας,3,9275
1210,Καλυμνίων,39,9276
1215,Λειψών,2,9277
1216,Λέρου,15,9278
1222,Πάτμου,7,9279
1212,Καρπάθου,15,9280
1221,Ολύμπου,2,9280
1213,Κάσου,3,9281
1206,Δικαίου,9,9284
1207,Ηρακλειδών,12,9284
1214,Κω,25,9284
1219,Νισύρου,4,9285
1218,Μεγίστης,1,9295
1202,Αρχαγγέλου,13,9296
1204,Ατταβύρου,10,9296
1205,Αφάντου,10,9296
1208,Ιαλυσού,11,9296
1209,Καλλιθέας,12,9296
1211,Καμείρου,13,9296
1217,Λινδίων,10,9296
1220,Νότιας Ρόδου,14,9296
1223,Πεταλούδων,20,9296
1224,Ρόδου,64,9296
1225,Σύμης,7,9297
1226,Τήλου,2,9298
1227,Χάλκης,2,9299
1301,Αλεξανδρούπολης,82,9006
1310,Τραϊανούπολης,9,9006
1313,Φερών,24,9006
1303,Διδυμοτείχου,48,9007
1305,Μεταξάδων,19,9007
1302,Βύσσας,16,9008
1304,Κυπρίνου,9,9008
1306,Ορεστιάδας,41,9008
1311,Τριγώνου,27,9008
1308,Σαμοθράκης,8,9009
1307,Ορφέα,17,9010
1309,Σουφλίου,16,9010
1312,Τυχερού,12,9010
1407,Διρφύων,16,9148
1420,Μεσσαπίων,29,9148
1402,Αμαρυνθίων,12,9149
1410,Ερέτριας,10,9149
1401,Αιδηψού,14,9150
1404,Αρτεμισίου,12,9150
1411,Ιστιαίας,17,9150
1418,Λιχάδος,3,9150
1427,Ωρεών,8,9150
1412,Καρύστου,14,9151
1413,Καφηρέως,4,9151
1419,Μαρμαρίου,11,9151
1424,Στυραίων,9,9151
1406,Αυλώνος,13,9152
1408,Δυστίων,16,9152
1415,Κονιστρών,13,9152
1416,Κύμης,23,9152
1425,Ταμιναίων,20,9152
1409,Ελυμνίων,12,9153
1414,Κηρέως,17,9153
1422,Νηλέως,9,9153
1423,Σκύρου,7,9154
1403,Ανθηδώνος,8,9155
1405,Αυλίδος,12,9155
1417,Ληλαντίων,24,9155
1421,Νέας Αρτάκης,11,9155
1426,Χαλκιδέων,69,9155
1501,Αγράφων,10,9156
1502,Απεραντίων,11,9156
1503,Ασπροποτάμου,10,9156
1504,Βίνιανης,7,9156
1511,Φραγκίστας,12,9156
1505,Δομνίστας,7,9157
1506,Καρπενησίου,25,9157
1507,Κτημενίων,6,9157
1508,Ποταμιάς,12,9157
1509,Προυσσού,11,9157
1510,Φουρνά,6,9157
1601,Αλυκών,16,9116
1602,Αρκαδίων,12,9116
1603,Αρτεμισίων,16,9116
1604,Ελατίων,8,9116
1605,Ζακυνθίων,34,9116
1606,Λαγανά,13,9116
1703,Ανδραβίδας,8,9135
1707,Βουπρασίας,20,9135
1712,Κάστρου - Κυλλήνης,8,9135
1715,Λεχαινών,12,9135
1701,Αλιφείρας,11,9136
1704,Ανδριτσαίνης,11,9136
1718,Σκιλλούντος,23,9136
1705,Αρχαίας Ολυμπίας,29,9137
1713,Λαμπείας,4,9137
1714,Λασιώνος,7,9137
1721,Φολόης,11,9137
1710,Ζαχάρως,27,9138
1720,Φιγαλείας,9,9138
1702,Αμαλιάδος,51,9139
1716,Πηνείας,18,9139
1706,Βαρθολομιού,11,9140
1709,Γαστούνης,15,9140
1719,Τραγανού,7,9140
1708,Βώλακος,7,9141
1711,Ιαρδάνου,12,9141
1717,Πύργου,65,9141
1722,Ωλένης,20,9141
1801,Αλεξάνδρειας,31,9023
1803,Αντιγονιδών,13,9023
1810,Μελίκης,15,9023
1812,Πλατέος,21,9023
1804,Αποστόλου Παύλου,17,9024
1805,Βεργίνας,8,9024
1806,Βέροιας,66,9024
1807,Δοβρά,12,9024
1809,Μακεδονίδος,8,9024
1802,Ανθεμίων,15,9025
1808,Ειρηνούπολης,9,9025
1811,Νάουσας,34,9025
1903,Αρχανών,9,9302
1904,Αστερουσιών,16,9302
1920,Νίκου Καζαντζάκη,19,9302
1905,Βιάννου,19,9303
1901,Αγίας Βαρβάρας,12,9304
1908,Γόρτυνας,16,9304
1915,Κόφινα,14,9304
1921,Ρούβα,6,9304
1907,Γοργολαϊνη,8,9305
1912,Ηρακλείου,169,9305
1919,Νέας Αλικαρνασσού,17,9305
1922,Τεμένους,7,9305
1923,Παλιανης,6,9305
1906,Γαζίου,22,9306
1916,Κρουσώνα,8,9306
1924,Τυλίσου,13,9306
1902,Αρκαλοχωρίου,24,9307
1913,Θραψανού,7,9307
1914,Καστελλίου,16,9307
1911,Ζαρού,5,9308
1918,Μοιρών,22,9308
1925,Τυμπακίου,19,9308
1909,Γουβών,13,9309
1910,Επισκοπής,6,9309
1917,Μαλλίων,8,9309
1926,Χερσονήσου,12,9309
2002,Ηγουμενίτσης,27,9077
2003,Μαργαριτίου,10,9077
2005,Παραποτάμου,6,9077
2006,Πέρδικας,4,9077
2009,Συβότων,8,9077
2001,Αχέροντα,7,9078
2004,Παραμυθιάς,33,9078
2008,Σουλίου,5,9078
2007,Σαγιάδας,7,9079
2010,Φιλιατών,48,9079
2104,Αμπελοκήπων,42,9026
2128,Μενεμένης,17,9026
2119,Θεσσαλονίκης,372,9031
2141,Τριανδρίας,13,9031
2120,Καλαμαριάς,84,9032
2112,Ελευθερίου - Κορδελιού,30,9033
2115,Ευόσμου,56,9033
2103,Αγίου Παύλου,9,9035
2132,Νεαπόλεως,39,9035
2134,Πεύκων,11,9035
2140,Συκεών,44,9035
2114,Ευκαρπίας,12,9036
2135,Πολίχνης,38,9036
2139,Σταυρουπόλεως,39,9036
2102,Αγίου Γεωργίου,7,9027
2106,Απολλωνίας,11,9027
2107,Αρέθουσας,11,9027
2111,Εγνατίας,7,9027
2127,Μαδύτου,6,9027
2137,Ρεντίνας,9,9027
2105,Αξιού,12,9028
2116,Εχεδώρου,32,9028
2142,Χαλάστρας,14,9028
2113,Επανομής,14,9029
2117,Θερμαϊκού,22,9029
2129,Μηχανιώνας,15,9029
2109,Βασιλικών,16,9030
2118,Θέρμης,27,9030
2130,Μίκρας,17,9030
2108,Ασσήρου,8,9034
2110,Βερτίσκου,9,9034
2122,Καλλινδοίων,10,9034
2123,Κορωνείας,12,9034
2125,Λαγκαδά,31,9034
2126,Λαχανά,12,9034
2138,Σοχού,14,9034
2133,Πανοράματος,19,9037
2136,Πυλαίας,24,9037
2144,Χορτιάτη,22,9037
2101,Αγίου Αθανασίου,22,9038
2124,Κουφαλίων,19,9038
2143,Χαλκηδόνος,17,9038
2121,Καλλιθέας,13,9039
2131,Μυγδονίας,14,9039
2145,Ωραιοκάστρου,22,9039
2207,Βαθυπέδου,1,9080
2218,Καλαριτών,2,9080
2220,Κατσανοχωρίων,10,9080
2225,Ματσουκίου,1,9080
2235,Πραμάντων,7,9080
2238,Συρράκου,2,9080
2239,Τζουμέρκων,8,9080
2201,Αγίου Δημητρίου,21,9081
2210,Λάκκας Σουλίου,14,9081
2212,Δωδώνης,9,9081
2237,Σελλών,15,9081
2204,Ανατολικού Ζαγορίου,14,9082
2208,Βοβούσης,1,9082
2221,Κεντρικού Ζαγορίου,15,9082
2232,Παπίγκου,1,9082
2240,Τύμφης,12,9082
2214,Εκάλης,8,9083
2215,Ευρυμενών,9,9083
2216,Ζίτσας,7,9083
2228,Μολοσσών,20,9083
2233,Πασαρώνος,21,9083
2203,Ανατολής,11,9084
2217,Ιωαννιτών,73,9084
2229,Μπιζανίου,10,9084
2230,Νήσου Ιωαννίνων,1,9084
2231,Παμβώτιδος,23,9084
2234,Περάματος,11,9084
2202,Αετομηλίτσης,1,9085
2211,Διστράτου,1,9085
2222,Κόνιτσας,28,9085
2224,Μαστοροχωρίων,12,9085
2241,Φούρκας,1,9085
2213,Εγνατίας,9,9086
2226,Μετσόβου,9,9086
2227,Μηλέας,2,9086
2205,Ανω Καλαμά,13,9087
2206,Ανω Πωγωνίου,12,9087
2209,Δελβινακίου,17,9087
2219,Καλπακίου,10,9087
2223,Λάβδανης,2,9087
2236,Πωγωνιανής,4,9087
2303,Θάσου,26,9011
2304,Καβάλας,90,9012
2310,Φιλίππων,30,9012
2305,Κεραμωτής,11,9013
2306,Ορεινού,10,9013
